name,city,contact,address,phone,website,description,last_updated
"Kingston House - Boston Rescue Mission - Boston, MA ","Boston, MA",,"39 Kingston Street Boston, MA 02112",(617) 338-9000,https://www.brm.org/ : Follow us on Facebook,"Mission: * To offer resources that prevent and end homelessness * To support the recovery, health, faith, and independence of those who have a history of substance abuse, incarceration, and homelessness * To raise awareness about the root causes of these life risks * To serve everyone with respect, integrity, and grace * To continue to learn, grow, and excel in our services * To be good stewards of the resources entrusted to us by our supporters * To reflect the teachings of Jesus and the love of God in all we do Service: * Emergency Shelter * Food Pantries * Homeless Shelter * MealsOutpatient Counseling Center Kingston HouseThe Mission's Outpatient Counseling Center seeks to provide quality outpatient care to individuals struggling with substance abuse and substance dependence. Women and men have access to a professional, caring staff and will receive treatment in a safe, sober, and therapeutic environment. The center will provide clinical and support services to individuals to help address the wide variety of issues arising from substance abuse and substance dependence, including: Individual and family counseling Case management to address vocational, financial, medical, mental health, educational, rehabilitative, and housing needs Referral to other services dependent on level of care needed (i.e. inpatient treatment, vocational training) Patient education related to sobriety, medical and mental health Patient education related to transmission of infectious diseases (i.e. TB, HIV/AIDS, Hepatitis, STDs) Patient education related to smoking cessation Aftercare and transition planningSafe & Healthy ProgramOur year-round Safe & Healthy program members receive a nightly meal, bathroom and shower facilities, and breakfast before departing in the morning. Members also may speak with a case manager who may suggest further recovery programs, depending on the individual's needs. Nurses and a doctor are available thanks to a partnership with Boston Health Care for the Homeless.Emergency Overflow ShelterDuring the chilly winter months, our emergency shelter hosts people who don't have a place to sleep. Participants arrive in the evening, are screened for safety, and receive meals, shower facilities, and safe beds out of the cold. Guests leave in the morning, but may return the next evening if needed. This program generally runs between November or December through April, and is renewed on a yearly basis depending on the availability of state resources which anchor the program.Residential Recovery ProgramSubstance abuse is clearly one of the leading causes of homelessness and must be addressed in any prevention strategy. Unfortunately, recovery for individuals with limited financial means usually consists of a three to five day detoxification program provided by publicly funded insurance and a return to their typically unstable pre-detoxification living situation. This ""recovery"" is clearly inadequate, and many of these individuals soon revert to substance abuse and again put themselves at risk of becoming homeless.Each year, our recovery program provides hundreds of recovering alcoholics and addicts with a safe and therapeutic environment in which they can address their substance abuse issues and ultimately achieve a healthy, self-sufficient living situation. The program begins when a program member is referred by a licensed detoxification program. The referred program member is assigned to an individual case manager who conducts a careful and extensive evaluation to assess the program member's mental health and vocational, legal, cognitive behavioral, housing, medical, family, recovery, educational, and other needs. The case manager then develops an individualized care plan for the program member that is implemented through daily twelve step meetings. Over the course of the program, case managers and training sessions provide program members with substance abuse treatment, mental health services, anger management treatment, employment assistance, job training, housing assistance, and financial management assistance. In addition, program members participate in classes on living independently, repairing broken relationships, and improving social skills. The goal of these sessions is to build program member self-esteem and equip them with the tools and skills they need to achieve permanent self-sufficiency.All program services are provided without monetary commitment from program members. This provides an opportunity to save money, including provisions for outstanding legal obligations. Instead, program members are asked to participate in community service projects that contribute to the health and well-being of their treatment environment. This provides a structured environment for each of our program members, which is an essential ingredient to the success of any recovery program.When a program member is ready to embrace independent living with a community-based support network, graduates are provided with detailed discharge and aftercare planning. Case managers track and monitor the program member's progress after discharge. Formalized aftercare services are offered at Boston Rescue Mission as well as through informal relationships that have been formed through the treatment process. Graduates are welcome to utilize the Boston Rescue Mission for vocational training, employment assistance, housing assistance, or any other services on their journey to establish an independent and supportive housing environment.Sober Living ProgramThis fall, the Boston Rescue Mission launched an exciting new opportunity to support downtown Boston’s community of recovering alcoholics and addicts - the Sober Living program. Adult men with 30 days of sobriety can complete a short screening procedure to determine eligibility and enter the Kingston House as a member of a sober community.Like other sober communities, members abide by certain house rules to ensure safety and sobriety and pay a nominal weekly fee as a commitment to the program and to support the cost of their living space.But a few things distinguish the Mission’s Sober Living program from other sober communities:1. A centrally located and convenient downtown location is a huge plus for many program members, who can find and access places of employment and transportation options easily.2. Members' fees include all meals. Because the Mission serves so many people each day, it’s easy to include Sober Living members, and it saves a lot of money for members.3. Members have access to in-house group recovery meetings, case managers, spiritual development and many other resources available to residential recovery program members. Since many Sober Living members have recently graduated from a recovery program, these in-house resources are very attractive to potential members.The Mission sees the Sober Living program as a natural extension of our residential recovery program to fill a critical need in the recovery community of downtown Boston. We appreciate your prayers and support through the launch of this exciting program.Directions - Public TransportationDirections by the ""T"" (Boston's subway system):The Boston Rescue Mission is accessible by the Red, Orange and Green Lines.Take the Red Line to the Downtown Crossing stop. Go up the Chauncy Street Exit. You will be at the intersection of Chauncy and Summer Street (by the CVS Pharmacy). Walk down Summer Street one block with CVS on your right and take a right onto Kingston Street, we are located 3/4 of the block down Kingston Street on the right side at 39 Kingston.Take the Orange Line to the Downtown Crossing stop. Go up the Washington Street exit. You will be directly across from Macy's. Walk down Summer Street with Macy's on your right. Cross Chauncy Street, passing the CVS Pharmacy on your right, and take a right onto Kingston Street. We are located 3/4 of the block down Kingston Street on the right side at 39 Kingston.Take the Green Line to the Park Street Station. Cross over Tremont street and walk down Winter Street. Continue down Winter Street/Summer Street (Winter Street turns into Summer Street) Walk down Summer Street past Macy's on your right, cross Chauncy Street, passing the CVS Pharmacy and take a right onto Kingston Street. We are located 3/4 of the block down Kingston Street on the right side at 39 Kingston. Do you have items to donate? Contact Kingston House - Boston Rescue Mission at the phone number provided above to see if they can use any items you may have to donate.",2020-02-01
"TURNING POINT - Framingham, MA ","Boston, MA",,"75 Hollis Street Framingham, MA 01701",,508 875 6429,Do you have items to donate? Contact TURNING POINT at the phone number provided above to see if they can use any items you may have to donate.,
"CAMBRIDGE YWCA EMERGENCY FAMILY SHELTER - Cambridge, MA ","Boston, MA",,"3 Bigelow Street Cambridge, MA 02139",,617 491 6055,Do you have items to donate? Contact CAMBRIDGE YWCA EMERGENCY FAMILY SHELTER at the phone number provided above to see if they can use any items you may have to donate.,
"Shattuck Shelter - Jamaica Plain, MA ","Boston, MA",,"170 Morton Street Jamaica Plain, MA 02130",617.892.9100,http://www.pinestreetinn.org/,"Pine Street Inn operates the Shattuck ShelterThe Shattuck Shelter provides emergency refuge, food, clothing, medical care, mental health treatment, housing placement, legal assistance and addiction referrals for 120 men and women.offers year-round overnight emergency shelter to 120 homeless men and women each night. Guests receive food and shelter, as well as support from counselors and nursing staff. The shelter also provides assistance for guests who are struggling with addiction, legal, financial, mental and physical health issues.Emergency shelter remains one of Pine Street’s core services, along with permanent, supportive housing, job training and placement, and street outreach. Pine Street Inn serves more than 1,600 homeless individuals daily and 11,000 annually, providing the full spectrum of services to help men and women reach their highest level of independence. Its services are made possible through private fundraising and state, local and federal support.Guests receive two hot meals, showers, clothing, a clean bed, and support from counselors and nursing staff. Shattuck Shelter also provides assistance for guests who are struggling with addiction, legal, financial, mental health and physical issu Do you have items to donate? Contact Shattuck Shelter at the phone number provided above to see if they can use any items you may have to donate.",2020-02-01
"HORIZON HOUSE - Mattapan, MA ","Boston, MA",,"P.O. Box 382 Mattapan, MA 02126",,617 296 2492,Do you have items to donate? Contact HORIZON HOUSE at the phone number provided above to see if they can use any items you may have to donate.,
"CASPAR Emergency Care Center - Cambridge, MA ","Boston, MA",,"240 Albany Street Cambridge, MA 02139",617-661-0600,www.casparinc.org,"Bed lottery is at 2:30 PM. Beds can only be reserved in person. CASPAR's Emergency Service Center (ESC) is one of three shelters in Massachusetts that accept homeless people who are actively using alcohol and drugs. At the ESC clients receive medical and mental health care, nutritional food, personal hygiene supplies, clean clothes, counseling, case management, and employment, housing, and treatment referrals in an environment that is welcoming and safe. The ESC provides 24-hour shelter, 365 days a year to residents of Cambridge and Somerville.Provides 107 beds for men and women who are actively using drugs and/ or alcohol. Clients have access to medical care, 3 meals a day, personal hygiene supplies, case management, and treatment referrals in a safe and welcome environment. CASPAR is a nonprofit organization founded in 1970 in response to the need for community-based services for those affected by substance use disorders. Since then CASPAR has built a comprehensive array of outreach, shelter, stabilization, residential, aftercare, education, and prevention services. We focus on programs that are safe, accessible, and supportive and that meet the needs of a diverse population of high-risk men, women, children and adolescents, most of whom are uninsured and indigent. Volunteers Requests by CASPAR Emergency Care Center: Yes, please contact Dick Riccio for more information. Donation Requests by CASPAR Emergency Care Center: All donations are accepted and appreciated.",2020-02-01
"GREATER LOWELL EMERGENCY FAMILY SHELTER - Lowell, MA ","Boston, MA",,"167 Dutton Street Lowell, MA 01852",,978 459 0551,Do you have items to donate? Contact GREATER LOWELL EMERGENCY FAMILY SHELTER at the phone number provided above to see if they can use any items you may have to donate.,
"Battered Women's Emergency Shelter Elizabeth Stone House - Boston, MA ","Boston, MA",,"8 Notre Dame Street Boston, MA 02119",617-427-9801,www.elizabethstonehouse.org,"The Elizabeth Stone House is committed to countering the effects of trauma and breaking the cycles of violence and abuse—one family at a time. Through residential and community support services, the Stone House helps families heal and women reclaim control over their lives. The mission of the Elizabeth Stone House is to serve homeless families and individuals in a goal-oriented, outcome-driven service environment by resolving the issues that made them homeless - domestic violence, substance abuse, and mental illness - so that they can attain and maintain permanent housing, personal safety, and economic stability. Do you have items to donate? Contact Battered Women's Emergency Shelter Elizabeth Stone House at the phone number provided above to see if they can use any items you may have to donate.",
"Father Bill's Place - Quincy, MA ","Boston, MA",,"38 Broad Street Quincy, MA 02169",617 770 3314,http://helpfbms.org,Emergency Shelter for those 18 years old and up. We shelter an average of 225 individual adults each night at Father Bill's Place in Quincy and MainSpring House in Brockton. No one in need is turned away. Public funding covers less than half of our shelter costs. That is why your support is so important! Would you consider running a donation drive for basic supplies? Please see the wish lists below and call the development office at 617-376-2255. Do you have items to donate? Contact Father Bill's Place at the phone number provided above to see if they can use any items you may have to donate.,
"FAMILY RESOURCE CENTER - Attleboro, MA ","Boston, MA",,"11 Peck Street Attleboro, MA 02703",,508 226 5722,Do you have items to donate? Contact FAMILY RESOURCE CENTER at the phone number provided above to see if they can use any items you may have to donate.,2020-02-02
"Mass. Coalition for the Homeless - Lynn, MA ","Boston, MA",,"73 Buffum St Lynn, MA 01902",(781) 595-7570,https://www.mahomeless.org/,"ProgramsHomeLinkThe HomeLink Initiative is designed to work with community health centers, public school districts and early intervention workers to help identify households that are having a housing crisis and then offer quick assistance to ensure that they remain stably housed.A Bed for Every Child InitiativeA good night's sleep has a major effect on a child's ability to come to school prepared to learn; falling behind due to a lack of sleep can have negative long term consequences on a student's education and future. A proven pathway out of homelessness is to ensure children of low-income families receive an education that will allow them to graduate from high school. To do this, we have to give these children the tools they need to succeed. One of these tools is a bed.Room to Breathe The Room to Breathe Initiative was launched by the Coalition in 2013 to assist low-income families and individuals who are living with chronic respiratory diagnoses to improve their home environment to lessen environmental triggers with a goal of improving their quality of life.Furniture BankSince its inception in 1985 as one of the first furniture banks in the nation, the Massachusetts Coalition for the Homeless has assisted in furnishing the future of thousands of households who are transitioning out of homelessness into permanent housing. The approach is simple - take other people’s castaway furniture and household goods and give them new life in the home of someone in need.Teen ClosetToday 1 in 7 children growing up in Massachusetts is growing up in poverty. A teenager growing up in poverty often has to live without the most basic items - like clothing. Do you have items to donate? Contact Mass. Coalition for the Homeless at the phone number provided above to see if they can use any items you may have to donate.",2020-02-01
"Nazareth Residence For Mothers & Children - Roxbury, MA ","Boston, MA",,"91 Regent Street Roxbury, MA 02119",(617) 541-0100,http://www.ccab.org/?q=shelter-services,"Nazareth Residence provides an opportunity for homeless mothers and their children to begin rebuilding their lives. Families are able to maintain their independence while they transition to permanent housing. The community-like atmosphere, supportive services, and 24-hour staffing create a safe and secure environment. Do you have items to donate? Contact Nazareth Residence For Mothers & Children at the phone number provided above to see if they can use any items you may have to donate.",2020-02-01
"Woods Mullen Shelter and Services - Boston, MA ","Boston, MA",,"794 Massachusetts Ave Boston, MA 02118",617-534-7100,http://www.bphc.org/whatwedo/homelessness/homeless-services/Pages/locations.aspx : Follow us on Facebook,"Our women's shelter, known as Woods-Mullen, is located at 794 Massachusetts Avenue in Boston's South End. The shelter serves female adults ages 18 years or older. The shelter has 200 beds and is open 365 days a year, 24 hours a day. Beds are given out on a first-come, first-served basis. In the winter months, additional overflow beds are available. Do you have items to donate? Contact Woods Mullen Shelter and Services at the phone number provided above to see if they can use any items you may have to donate.",2020-02-27
"Casa Nueva Vida - Lawrence, MA ","Boston, MA",,"57 Jackson St. Lawrence, MA 01840",(978) 557-5775,http://casanuevavida.org/ : Follow us on Facebook,"Casa Nueva Vida (House of New Life) is the only homeless shelter in the state of Massachusetts with a completely bilingual staff. Although we serve a diverse population, we believe our bilingual expertise makes us ideally capable of providing a unique, specialized package of services and programs to Latino families – some of the most vulnerable members of society. Our Mission is to To help homeless families gain the education and skills needed to permanently pull themselves out of poverty and into stable affordable housing. Casa Nueva Vida is committed to help homeless families find their own affordable and permanent housing as well as helping them build the skills necessary to stay out of homelessness and become active member of society. Do you have items to donate? Contact Casa Nueva Vida at the phone number provided above to see if they can use any items you may have to donate.",2020-02-02
"CITY OF BOSTON EMERGENCY SHELTER COMMISSION - Boston, MA ","Boston, MA",,"Boston City Hall, Rm. 716 Boston, MA 02201",,http://www.cityofboston.gov/shelter/,"The Emergency Shelter Commission's mission is to coordinate the City's efforts to prevent and end homelessness and hunger through proactive planning, policy analysis, program development and advocacy with our city, state, federal and community partner agencies. The Commission's goal is to eradicate hunger and homelessness by seeking systemic solutions to these challenging socio-economic problems. The ESC coordinates a safety net of services and provides information and referral to homeless and hungry citizens in need. Do you have items to donate? Contact CITY OF BOSTON EMERGENCY SHELTER COMMISSION at the phone number provided above to see if they can use any items you may have to donate.",
"CATHOLIC CHARITIES St. Ambrose Family Inn - Dorchester, MA ","Boston, MA",,"25 Leonard Street Dorchester, MA 02122",(617) 288-7675,http://www.bc.edu/bc_org/avp/cas/pulse/stambrose.html,"St. Ambrose Family Inn, a program of Catholic Charities, is a shelter in the Field's Corner neighborhood of Dorchester. Opened in 1989, the shelter can accommodate 12 families. The population is mostly women and children, but we do accept fathers with their children. There are usually 18-25 children staying at the shelter and they range in age from 0 to 17 years. The goals of the shelter are to assist families in finding safe and affordable housing, and to prepare families to live successfully and independently in their own apartments. While families stay at the Inn, they are provided with housing search assistance, social work services, comfortable rooms and nutritious meals. Do you have items to donate? Contact CATHOLIC CHARITIES St. Ambrose Family Inn at the phone number provided above to see if they can use any items you may have to donate.",
"Bristol Lodge Men's Shelter - Waltham, MA ","Boston, MA",,"27 Lexington Street Waltham, MA 02451",781-893-0108,https://www.mhsainc.org/,"The Bristol Lodge Men's Shelter operate on a first-come, first-served basis. If you are in need of a bed, you must go through the pre-screening process by calling 781-893-0108, Monday through Friday. Phone calls are accepted beginning at 9:00am. Provides a 43 bed shelter. Can stay up to 90 days. Must sign up each morning for a bed. Hours Open: 6pm until 7:45am. Staff at each location are trained to provide a variety of specialized and essential services. Support staff are trained to provide all guests with a safe and supportive environment. Case managers help guests locate permanent housing, provide supportive counseling, refer guests to other agencies as needed, organize in-house AA meetings, offer employment counseling groups, and assist clients with entitlement benefits such as SSI or SSDI. Each and every guest has an individualized goal plan.The Bristol Lodge Men's and Women's Shelters can only accept individual homeless adults. All beds at the Bristol Lodge Men's and Women's Shelters operate on a first-come, first-served basis and are subject to availability. Anyone in need of a shelter bed must complete the pre-screening process by calling 781-893-0108, Monday through Friday (phone calls are accepted beginning at 9:00am). Both the Men's and Women's Shelters are ""dry"" shelters, meaning that staff cannot offer a bed to any resident who is intoxicated or under the influence of any substance. Alcohol, drugs and other Illicit substances are strictly prohibited on shelter property. The Men's and Women's Shelters are night shelters and cannot accommodate residents during daytime hours. With the exception of scheduled meetings with shelter staff, residents will be asked to leave the buildings from 8:00am until 4:00pm, each day. Because the Bristol Lodge Shelters are only able to provide temporary, emergency accommodations, residents are limited to a maximum stay of up to 90 days. Each resident's ""90 day clock"" begins on the first night she/he reserves a bed and this ""clock"" does not stop, even if the resident sleeps elsewhere for one or more nights. After 90 days, the resident must wait an additional 30 days before reentering the program. Public Transportation To ShelterMen's Shelter: The Bristol Lodge Men's Shelter is located on the second floor of the old Waltham Central Fire Station. The entrance is located on the side of the building. The MBTA 70A and 554 buses stop at the intersection of Lexington Street and School Street, which is approximately 100 feet from the Men's Shelter. The Men's Shelter is also located 0.3 miles from the Waltham MBTA Commuter Rail station (Fitchburg Line). From the Waltham station, walk up the Waltham Common (along Elm Street), towards Main Street. Take a left onto Main Street, then a right onto Lexington Street where the Men's Shelter will be on your right. Do you have items to donate? Contact Bristol Lodge Men's Shelter at the phone number provided above to see if they can use any items you may have to donate.",2020-02-01
"The Women's Inn at Pine Street - Boston, MA ","Boston, MA",,"363 Albany Street Boston, MA 02118",,617-482-4944,"Beds are assigned daily using a lottery system. To enter the drawing, please arrive at the Women's Inn by 3 p.m. and speak to the staff at the front desk. Names are drawn for the lottery at 3:30 pm. A bed is not guaranteed, though staff will work to find options for you. Do you have items to donate? Contact The Women's Inn at Pine Street at the phone number provided above to see if they can use any items you may have to donate.",
"Family Shelter Project Hope - Dorchester, MA ","Boston, MA",,"45 Magnolia Street Dorchester, MA 02125",,617 442 1880,The Family Shelter was one of the first homeless shelter for families in the state and remains a model for its respectful and empowering approach. Approximately 20 women and their children are sheltered each year. The women are assisted to secure permanent housing and to connect with Project Hope's adult education and career development opportunities. If you need more information about how to access emergency shelter in Massachusetts call the Washington Street branch of the Department of Housing & Community Development DHCD at 617-989-6100. Do you have items to donate? Contact Family Shelter Project Hope at the phone number provided above to see if they can use any items you may have to donate.,
"METROPOLITAN BOSTON HOUSING PARTNERSHIP - Boston, MA ","Boston, MA",,"569 Columbus Avenue Boston, MA 02118",,617 859 0400 ex,Do you have items to donate? Contact METROPOLITAN BOSTON HOUSING PARTNERSHIP at the phone number provided above to see if they can use any items you may have to donate.,
"INN BETWEEN - Peabody, MA ","Boston, MA",,"25 Holten Street Peabody, MA 01960",978 532 2372,http://cahns.org,"The Inn Between is an emergency program for homeless families. Founded in 1985, our original building, a lovely Victorian home, houses six families at a time, and includes one fully handicapped-accessible room. In this program we also maintain a “community room,” available for homeless families who are ineligible for shelter assistance from the state.ServicesOngoing meetings with a case manager to coordinate health care, children’s needs (counseling, school transportation, summer camp, day care), and parents’ needs (education, employment, legal, mental health, etc.)Assist families on a daily basis in their effort to obtain permanent, affordable housingLife skills development, including budgeting, nutrition, health, parenting skills and successful coping abilitiesProvide educational programs by community service providers, volunteers and businesses (GED, ESL, etc.)Computer access to work on resumes, letters, and hone job skills.Household chores, cooking, and shopping as shared responsibilities.Follow-up by a case manager who tracks families who move on for a full year, and sometimes longer Do you have items to donate? Contact INN BETWEEN at the phone number provided above to see if they can use any items you may have to donate.",2020-02-02
"Pine Street Inn Boston - Men's Shelter - Boston, MA ","Boston, MA",,"444 Harrison Avenue Boston, MA 02118",617-482-4944,http://www.pinestreetinn.org/ : Follow us on Facebook,"Men seeking emergency shelter for the first time are encouraged to come to the Men's Inn, located at 444 Harrison Avenue, Monday through Saturday, 8 a.m.– 6 p.m. During these hours, an intake specialist can meet with you to assess your needs and help you to find the best options for your situation. Staff are available to assist you in securing permanent housing.The Men’s Inn provides emergency shelter services to over 350 men each night. Guests typically receive a bed after meeting with a case manager, who will help them chart the next steps toward securing permanent or transitional housing, job training, substance abuse counseling or other needed services.In addition to a bed, the Men’s Inn offers guests two meals a day, shower and laundry facilities and a health clinic.From the Men’s Inn, many guests move on to one of Pine Street’s transitional programs. Do you have items to donate? Contact Pine Street Inn Boston - Men's Shelter at the phone number provided above to see if they can use any items you may have to donate.",2020-02-01
"House of Hope - Lowell, MA ","Boston, MA",,"812 Merrimack Street Lowell, MA 01854",978 458 2870,http://houseofhopelowell.org/ : Follow us on Facebook,"This is a Family Shelter. Entrance is through DHCD Homeless Coordinator out of the local DTA Office. Not a walk in Shelter.Emergency food, shelter and clothing for 28 families.- Case Managers work with HOH residents to assess their circumstances and plan for their futures.- On-site mental health and substance abuse programming for all mothers.- Employment internship positions are available on-site for adult residents who have little prior success with employment.- Children's services at the House of Hope cover a wide spectrum of outreach and support. Intervention, engagement and love are the operative words when it comes to the kids of House of Hope.Below is a list of some of the services we provide: Case Management work with residents to assess their circumstances and plan for their futures On-site behavioral and physical health support and referrals A limited number of permanent housing units with rental assistance and supportive services Children’s services cover a wide spectrum of outreach, intervention, engagement and love A structured employment-readiness program with Internship positions, employment education, and one-on-one job coaching, available for adult residents who have little prior success with employment The Hope Chest, a children’s resale clothing store that provides customer service internships for clients while serving low-income families in the Greater Lowell area The Housing Resource Center, which works actively with all parents to quickly secure a stable home for their families and provide goal-oriented stabilization services for families we rehouse in the community to assist them in remaining stably housed Do you have items to donate? Contact House of Hope at the phone number provided above to see if they can use any items you may have to donate.",2020-02-02
"KIT CLARK SENIOR SERVICES - Dorchester, MA ","Boston, MA",,"1500 Dorchester Avenue Dorchester, MA 02122",,617 825 5000,Do you have items to donate? Contact KIT CLARK SENIOR SERVICES at the phone number provided above to see if they can use any items you may have to donate.,
"Shelter at 112 Southampton Street - Boston, MA ","Boston, MA",,"112 Southampton Street Boston, MA 02118",617-534-6100,http://www.bphc.org/whatwedo/homelessness/homeless-services/Pages/locations.aspx,"The new shelter, located on Southampton Street in the Newmarket district of the South End aims to offer a welcoming setting to guests. On January 14th, 2nd floor of a multiphase construction project was opened, allowing the shelter to serve adult males aged 18 years or older 365 days a year. During this developing period, the Southampton Street site has 100 beds available. Continued development is underway for Phase 2 of the facility's construction, including additional beds, increased space for programming and improved amenities. At full capacity, the shelter is slated to hold upwards of 400 nightly guests upon final completion in Spring 2015. Beds are allotted on a first-come, first-serve basis. Those looking for shelter for the evening should go to Central Intake at the Woods-Mullen Shelter, located at 794 Massachusetts Avenue, in Boston. Transportation goes from our intake site at 794 Massachusetts Avenue (Woods-Mullen Shelter) to the Southampton site every day between 4:10pm and 5:40pm. The shelter is open 24 hours a day during the colder months of the year. â€‹ Do you have items to donate? Contact Shelter at 112 Southampton Street at the phone number provided above to see if they can use any items you may have to donate.",2020-02-01
"Somerville Homeless Coalition Adult Shelter - Somerville, MA ","Boston, MA",,"14 Chapel St. Somerville, MA 02144",617-623-2546,https://www.somervillehomelesscoalition.org : Follow us on Facebook,"Services: SHELTER - Adult Shelter 14 Chapel Street Somerville, MA 02144 Phone: 617-623-2546 Operated by the Somerville Homeless Coalition. An emergency and extended stay sober shelter for 12 men and 4 women. Call to get on waitlist (leave name and number on voicemail) and call daily to â€œcheck inâ€ on waitlist status. Drug and alcohol testing. Mandatory housing focused case management. Required to save 50% of income during stay. - Family Shelter 59 Cross Street Somerville, MA 02145 617-776-6661 HOUSING - Prevention & Stabilization Services - Sewell Street SRO - Shelter Plus Care - Sobriety & Stability - Better Homes I & II - Home For Good CASE MANAGEMENT - Passages FOOD SERVICES - Project SOUP SHC is considered Greater Somerville's lead agency in responding to homeless and hunger related situations and issues. Do you have items to donate? Contact Somerville Homeless Coalition Adult Shelter at the phone number provided above to see if they can use any items you may have to donate.",2020-02-01
"Mass. Coalition for the Homeless - Lynn, MA ","Boston, MA",,"73 Buffum St Lynn, MA 01902",(781) 595-7570,https://www.mahomeless.org/,"ProgramsHomeLinkThe HomeLink Initiative is designed to work with community health centers, public school districts and early intervention workers to help identify households that are having a housing crisis and then offer quick assistance to ensure that they remain stably housed.A Bed for Every Child InitiativeA good night's sleep has a major effect on a child's ability to come to school prepared to learn; falling behind due to a lack of sleep can have negative long term consequences on a student's education and future. A proven pathway out of homelessness is to ensure children of low-income families receive an education that will allow them to graduate from high school. To do this, we have to give these children the tools they need to succeed. One of these tools is a bed.Room to Breathe The Room to Breathe Initiative was launched by the Coalition in 2013 to assist low-income families and individuals who are living with chronic respiratory diagnoses to improve their home environment to lessen environmental triggers with a goal of improving their quality of life.Furniture BankSince its inception in 1985 as one of the first furniture banks in the nation, the Massachusetts Coalition for the Homeless has assisted in furnishing the future of thousands of households who are transitioning out of homelessness into permanent housing. The approach is simple - take other people’s castaway furniture and household goods and give them new life in the home of someone in need.Teen ClosetToday 1 in 7 children growing up in Massachusetts is growing up in poverty. A teenager growing up in poverty often has to live without the most basic items - like clothing. Do you have items to donate? Contact Mass. Coalition for the Homeless at the phone number provided above to see if they can use any items you may have to donate.",2020-02-01
"Crittenton Women's Union - Boston, MA ","Boston, MA",,"1 Washington Mall Boston, MA 02108",617.259.2900,www.liveworkthrive.org,"Crittenton Women's Union is the largest provider of family shelter in Massachusetts, serving more than 350 families a year. During their stay, families develop a plan to help them move toward an economically independent life. Also provides Family support services and Food Services.Crittenton Women's Union provides a residential meals program for its congregate housing sites in Brighton and Allston and conducts a for-profit food business delivering more than 1,000 meals day. CWU's for-profit food services contributes revenues that help fund CWU's direct services, research and advocacy. Do you have items to donate? Contact Crittenton Women's Union at the phone number provided above to see if they can use any items you may have to donate.",
"Urban Ministries Renewal House Domestice Violence Shelter - Roxbury, MA ","Boston, MA",,"10 Putnam Street Roxbury, MA 02119",,617-566-6881,"Renewal House is a domestic violence shelter for individuals in crisis and their children. Since 1980, Renewal House has provided temporary emergency shelter and advocacy services to more than 1,000 individuals and families escaping domestic violence. Emergency shelter for up to three months. Do you have items to donate? Contact Urban Ministries Renewal House Domestice Violence Shelter at the phone number provided above to see if they can use any items you may have to donate.",2020-02-02
"MARY MARTHA - Hingham, MA ","Boston, MA",,"1045 Main Street Hingham, MA 02043",,781 749 5441,Do you have items to donate? Contact MARY MARTHA at the phone number provided above to see if they can use any items you may have to donate.,
"Shattuck Shelter - Jamaica Plain, MA ","Boston, MA",,"170 Morton Street Jamaica Plain, MA 02130",617.892.9100,http://www.pinestreetinn.org/,"Pine Street Inn operates the Shattuck ShelterThe Shattuck Shelter provides emergency refuge, food, clothing, medical care, mental health treatment, housing placement, legal assistance and addiction referrals for 120 men and women.offers year-round overnight emergency shelter to 120 homeless men and women each night. Guests receive food and shelter, as well as support from counselors and nursing staff. The shelter also provides assistance for guests who are struggling with addiction, legal, financial, mental and physical health issues.Emergency shelter remains one of Pine Street’s core services, along with permanent, supportive housing, job training and placement, and street outreach. Pine Street Inn serves more than 1,600 homeless individuals daily and 11,000 annually, providing the full spectrum of services to help men and women reach their highest level of independence. Its services are made possible through private fundraising and state, local and federal support.Guests receive two hot meals, showers, clothing, a clean bed, and support from counselors and nursing staff. Shattuck Shelter also provides assistance for guests who are struggling with addiction, legal, financial, mental health and physical issu Do you have items to donate? Contact Shattuck Shelter at the phone number provided above to see if they can use any items you may have to donate.",2020-02-01
